DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,GR,NBGRCFM,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT
1886.9,,,,,17.5,,,102.8317,,,,0.9154,0.8432,0.7999,,0.7865,42.1149,0.7865,0.7999,0.7865
1887.0,,,,,17.5,,,94.7913,,,,0.9052,0.8432,0.8029,,0.7946,42.2459,0.7946,0.8029,0.7946
1887.1,,,,,17.5,,,100.3366,,,,0.8951,0.841,0.8017,,0.7897,42.2674,0.7897,0.8017,0.7897
1887.2,,,,,17.5,,,100.3289,,,,0.895,0.8424,0.8024,,0.7865,42.2891,0.7865,0.8024,0.7865
1887.3,,,,,17.5,,,100.4208,,,,0.8972,0.841,0.7979,,0.7874,42.3105,0.7874,0.7979,0.7874
1887.4,,,,,17.5,,,105.4854,,,,0.8983,0.8412,0.7974,,0.7849,42.2899,0.7849,0.7974,0.7849
1887.5,,,,,17.5,,,102.9732,,,,0.8994,0.8415,0.7969,,0.7824,42.2694,0.7824,0.7969,0.7824
1887.6,,,,,17.5,,,96.9785,,,,0.9031,0.8406,0.7939,,0.7816,42.2488,0.7816,0.7939,0.7816
1887.7,,,,,17.5,,,91.5315,,,,0.912,0.8426,0.7915,,0.7704,42.2641,0.7704,0.7915,0.7704
1887.8,,,,,17.5,,,95.7082,,,,0.9209,0.8449,0.79,,0.7661,42.2795,0.7661,0.79,0.7661
1887.9,,,,,17.5,,,97.5729,,,,0.924,0.8445,0.789,,0.7667,42.2948,0.7667,0.789,0.7667
1888.0,,,,,17.5,,,99.8972,,,,0.9256,0.845,0.7863,,0.7718,42.2996,0.7718,0.7863,0.7718
1888.1,,,,,17.5,,,106.0835,,,,0.9356,0.8487,0.7868,,0.7764,42.3043,0.7764,0.7868,0.7764
1888.2,,,,,17.5,,,105.5711,,,,0.8844,0.8458,0.8075,,0.807,42.3089,0.807,0.8075,0.807
1888.3,,,,,17.5,,,106.3623,,,,0.8886,0.848,0.8007,,0.7925,42.2759,0.7925,0.8007,0.7925
1888.4,,,,,17.5,,,104.7682,,,,0.8891,0.8515,0.7967,,0.7913,42.2429,0.7913,0.7967,0.7913
1888.5,,,,,17.5,,,102.8295,,,,0.9001,0.8535,0.7987,,0.7949,42.2099,0.7949,0.7987,0.7949
1888.6,,,,,17.5,,,101.8149,,,,0.9037,0.8544,0.8019,,0.8046,42.22,0.8046,0.8019,0.8046
1888.7,,,,,17.5,,,102.9214,,,,0.9061,0.8572,0.8123,,0.8234,42.2301,0.8234,0.8123,0.8234
1888.8,,,,,17.5,,,104.5676,,,,0.9105,0.859,0.8194,,0.8312,42.2402,0.8312,0.8194,0.8312
1888.9,,,,,17.5,,,96.6823,,,,0.915,0.8609,0.8265,,0.839,42.2197,0.839,0.8265,0.839
1889.0,,,,,17.5,,,87.3157,,,,0.9429,0.8636,0.8472,,0.8709,42.1992,0.8709,0.8472,0.8709
1889.1,,,,,17.5,,,88.0951,,,,0.9642,0.8646,0.864,,0.9261,42.1788,0.9261,0.864,0.9261
1889.2,,,,,17.5,,,91.253,,,,0.9638,0.8544,0.8744,,0.971,42.2002,0.971,0.8744,0.971
1889.3,,,,,17.5,,,95.0667,,,,0.9405,0.8473,0.8679,,0.9498,42.2216,0.9499,0.8679,0.9498
